iter	Logloss
0	0.669643062
1	0.6492688035
2	0.6320921783
3	0.6173616094
4	0.6052250853
5	0.5946653998
6	0.5857529303
7	0.5779298177
8	0.5707058846
9	0.5643787814
10	0.5587541058
11	0.5538476835
12	0.5498748027
13	0.5461196556
14	0.5428014724
15	0.539689372
16	0.536685198
17	0.5341514288
18	0.5315006038
19	0.5291940951
20	0.5273161397
21	0.5256257753
22	0.5238430665
23	0.5220176339
24	0.520473241
25	0.5192127736
26	0.517629199
27	0.5160722416
28	0.5148812722
29	0.5135217093
30	0.5125634065
31	0.5114263378
32	0.5102517066
33	0.5091877143
34	0.5081291469
35	0.5072937192
36	0.5063064291
37	0.5051717408
38	0.5041741107
39	0.5031152096
40	0.5023042897
41	0.5011681911
42	0.5004257058
43	0.4993289924
44	0.4982640437
45	0.4975182029
46	0.4965489487
47	0.495620285
48	0.4946300433
49	0.4936771858
50	0.4927846811
51	0.4918302205
52	0.4911135396
53	0.4901035011
54	0.4893150509
55	0.4882827505
56	0.4875427702
57	0.486513275
58	0.4858399067
59	0.485013732
60	0.4841384173
61	0.4835256732
62	0.482644871
63	0.4819219112
64	0.4810805702
65	0.4805439767
66	0.4797466428
67	0.4791015341
68	0.4784169973
69	0.4778983919
70	0.4771332088
71	0.4761715667
72	0.4756147006
73	0.4750754233
74	0.4742813139
75	0.4736198044
76	0.4729919082
77	0.472332398
78	0.4716206663
79	0.4707999018
80	0.4701480561
81	0.4695867
82	0.4688370608
83	0.4681187615
84	0.4674849984
85	0.4667799771
86	0.4659568172
87	0.4654078405
88	0.4649279569
89	0.4644201107
90	0.4638742966
91	0.4632992921
92	0.4628485498
93	0.4622260207
94	0.4614962313
95	0.4608913091
96	0.4600008625
97	0.459584524
98	0.4589682154
99	0.4584498586
100	0.4579996415
101	0.4574279608
102	0.4567000032
103	0.456136559
104	0.4555016769
105	0.454852245
106	0.4543247236
107	0.4536142928
108	0.4531313274
109	0.4526590387
110	0.4522048138
111	0.4515705699
112	0.4512100356
113	0.450799361
114	0.4501717554
115	0.4496124167
116	0.4491947531
117	0.4486925057
118	0.4480914594
119	0.4474424677
120	0.4469855554
121	0.4464348862
122	0.4458865936
123	0.4454104228
124	0.444748067
125	0.4443606165
126	0.4437453279
127	0.4431066589
128	0.442412401
129	0.4418304262
130	0.4413023395
131	0.4408362515
132	0.4400885398
133	0.4395027599
134	0.4389176126
135	0.4384524305
136	0.4379212132
137	0.4373181218
138	0.436725642
139	0.4361463787
140	0.4355933609
141	0.4351289636
142	0.4345146357
143	0.4340777504
144	0.4333619172
145	0.4328184379
146	0.4322123295
147	0.4316138249
148	0.4311033973
149	0.430698632
150	0.4301878838
151	0.4295560575
152	0.4287741639
153	0.4281798256
154	0.4274171263
155	0.426949558
156	0.4263762104
157	0.4257565266
158	0.4252537025
159	0.4248996353
160	0.4243732932
161	0.4236380417
162	0.4231799363
163	0.4226668481
164	0.422316252
165	0.4218651123
166	0.4214191832
167	0.421024548
168	0.4206000961
169	0.4199807926
170	0.419498641
171	0.4190770281
172	0.4185166841
173	0.4179667389
174	0.4175404089
175	0.4170796985
176	0.4164534891
177	0.4158926656
178	0.4153784761
179	0.4148447271
180	0.4144719989
181	0.4139299679
182	0.4134409365
183	0.4130157788
184	0.4126466394
185	0.4120946425
186	0.4113092782
187	0.4107830909
188	0.4102316036
189	0.4097286783
190	0.4091490401
191	0.4087784907
192	0.4083036014
193	0.4079461096
194	0.4074085049
195	0.4069965928
196	0.4065787037
197	0.4061023683
198	0.4056939642
199	0.4052073935
200	0.404654583
201	0.4041102573
202	0.4035487455
203	0.4030680182
204	0.4024948064
205	0.4020289643
206	0.4016629206
207	0.401211632
208	0.4007569512
209	0.4003115131
210	0.3997811447
211	0.3992310804
212	0.3988233136
213	0.3983666963
214	0.3980277291
215	0.3977091863
216	0.3973117948
217	0.3968929111
218	0.3965238394
219	0.3959711454
220	0.3956779701
221	0.3951971666
222	0.3947939927
223	0.3943712331
224	0.3940029898
225	0.3935014286
226	0.3931243089
227	0.3926443429
228	0.3922700309
229	0.3918009756
230	0.3911172475
231	0.3907196869
232	0.3903915462
233	0.3899972898
234	0.3895848593
235	0.3892106731
236	0.3887814573
237	0.3883609685
238	0.388013581
239	0.3875479227
240	0.3872045353
241	0.3868104584
242	0.3864353513
243	0.3859308982
244	0.3853769843
245	0.3850439979
246	0.3845618109
247	0.3842716096
248	0.3838507447
249	0.3835559543
250	0.3830894007
251	0.3827828725
252	0.3823752336
253	0.3818810256
254	0.3814600705
255	0.3810154789
256	0.380509262
257	0.3801312858
258	0.379706371
259	0.3794793589
260	0.3789613223
261	0.3785550981
262	0.3783005266
263	0.377858241
264	0.3774950294
265	0.3769324546
266	0.3765749543
267	0.3762412191
268	0.3759050403
269	0.3755816497
270	0.3752502849
271	0.374756869
272	0.3744941601
273	0.3739917065
274	0.3736666642
275	0.37328508
276	0.3729183955
277	0.3724865455
278	0.3720029485
279	0.371673307
280	0.3713137359
281	0.3709377923
282	0.3704725355
283	0.370116848
284	0.3697310273
285	0.3691088929
286	0.3687162498
287	0.3683484419
288	0.3679495742
289	0.3674961168
290	0.367238334
291	0.3669593523
292	0.3665722376
293	0.3662616964
294	0.365898543
295	0.3655888496
296	0.3652846091
297	0.3649087448
298	0.3645929529
299	0.3642140952
300	0.3639355285
301	0.363495816
302	0.3631504939
303	0.3627081872
304	0.3622795169
305	0.36194562
306	0.3615899438
307	0.3613286481
308	0.360969108
309	0.3605773216
310	0.3602825251
311	0.3600436928
312	0.3595303925
313	0.3592657198
314	0.3589048087
315	0.3585646085
316	0.3582750144
317	0.3579654913
318	0.357647167
319	0.3573202414
320	0.357052755
321	0.3566533092
322	0.3563704948
323	0.3559254608
324	0.3555414473
325	0.3552742764
326	0.3550535791
327	0.3546628517
328	0.3543792504
329	0.3539640972
330	0.3536996158
331	0.3533466849
332	0.3528531386
333	0.3524458702
334	0.3522203327
335	0.3518713265
336	0.35159368
337	0.3513262885
338	0.3508778234
339	0.3505865759
340	0.3502586265
341	0.3499700508
342	0.3497865337
343	0.3494737238
344	0.3491711487
345	0.3488197885
346	0.348532207
347	0.3483159072
348	0.347991411
349	0.3475564379
350	0.3472323355
351	0.3468353402
352	0.3465271925
353	0.3461957293
354	0.3458570045
355	0.3455911874
356	0.3453193021
357	0.3449957266
358	0.344690449
359	0.3442274513
360	0.3439332763
361	0.3434101258
362	0.3431731859
363	0.34283573
364	0.3425268891
365	0.3422371462
366	0.3418569974
367	0.3415653873
368	0.341178687
369	0.3408639064
370	0.3405896618
371	0.3403162691
372	0.3399470808
373	0.3396541493
374	0.3393866485
375	0.339155175
376	0.3388081588
377	0.3384964493
378	0.3383008549
379	0.3379937992
380	0.3377451854
381	0.3373972634
382	0.3370056503
383	0.3365884824
384	0.3363458642
385	0.336079773
386	0.3357668018
387	0.3353348888
388	0.3351178303
389	0.3347563145
390	0.3343904966
391	0.3341887943
392	0.3339026707
393	0.3334797583
394	0.3332396459
395	0.3329129183
396	0.3327088357
397	0.3324541179
398	0.3320781136
399	0.3318457307
400	0.3315479082
401	0.3312813414
402	0.3309514916
403	0.3307284635
404	0.3304696981
405	0.3302326705
406	0.3298444279
407	0.3295890529
408	0.3291883193
409	0.3288588174
410	0.3285867814
411	0.3282919277
412	0.3279817672
413	0.3275732603
414	0.327227815
415	0.3269401462
416	0.3266811145
417	0.3264115289
418	0.3261366306
419	0.3257872585
420	0.3255155782
421	0.325246431
422	0.3249174231
423	0.3247076636
424	0.3244635912
425	0.3242521779
426	0.3240274403
427	0.3237410181
428	0.3234374247
429	0.3231165479
430	0.322899571
431	0.3225784692
432	0.3222048174
433	0.3220215491
434	0.3217988967
435	0.3214823793
436	0.3211740182
437	0.3209338533
438	0.3206965632
439	0.3204561919
440	0.3200043048
441	0.3197529687
442	0.3195928977
443	0.3193310809
444	0.3190651582
445	0.318689166
446	0.3183520323
447	0.3179669529
448	0.3177391309
449	0.3174560666
450	0.3172476022
451	0.3169869553
452	0.3167733818
453	0.3164189113
454	0.3160993879
455	0.3158020434
456	0.3155606736
457	0.3152366914
458	0.3148806979
459	0.3146674936
460	0.3144423393
461	0.3142341024
462	0.3140140209
463	0.3137616696
464	0.3135642816
465	0.3133008037
466	0.3131033198
467	0.312812238
468	0.3125072329
469	0.3120922781
470	0.3117821873
471	0.3116219821
472	0.3113898078
473	0.3111764703
474	0.310839945
475	0.3106337447
476	0.3102606183
477	0.3100552598
478	0.3098288348
479	0.3094816611
480	0.3092593696
481	0.3088197312
482	0.3086332793
483	0.3083908991
484	0.3079962299
485	0.3078428282
486	0.3076311666
487	0.3074232608
488	0.3070696222
489	0.3068420618
490	0.3065753304
491	0.306290803
492	0.3060624354
493	0.3058031352
494	0.3055537414
495	0.3052919881
496	0.3050486558
497	0.3048410708
498	0.3045786356
499	0.3043064252
500	0.3040448499
501	0.3038079338
502	0.3035871528
503	0.3033388853
504	0.3029579985
505	0.3026195331
506	0.3024464521
507	0.302269848
508	0.3020155967
509	0.3017556995
510	0.3015414369
511	0.3013513234
512	0.3010417487
513	0.300833891
514	0.3005927338
515	0.3003675863
516	0.300188977
517	0.2999223125
518	0.2996656695
519	0.2994573797
520	0.2992065247
521	0.2989280018
522	0.2986190364
523	0.2983853166
524	0.2980933407
525	0.2979143459
526	0.297743133
527	0.2975564361
528	0.2972890367
529	0.2971237284
530	0.2968897476
531	0.2966302993
532	0.2963489959
533	0.2961635154
534	0.295956271
535	0.2957099264
536	0.2953545345
537	0.2951022669
538	0.2948373181
539	0.2945685597
540	0.2942827808
541	0.2939981151
542	0.2937686079
543	0.2935045995
544	0.2932392633
545	0.2930249192
546	0.2927993732
547	0.2925067951
548	0.2922685207
549	0.2920411718
550	0.291826336
551	0.2917174705
552	0.2914734457
553	0.2913042682
554	0.2909493357
555	0.2907156555
556	0.2905188483
557	0.2902298852
558	0.2900729967
559	0.2899012716
560	0.2896840152
561	0.2893041246
562	0.2891181644
563	0.2889063336
564	0.2886659857
565	0.2883430217
566	0.2880789091
567	0.2878415567
568	0.2876465133
569	0.2874798381
570	0.2873069666
571	0.2870997848
572	0.2869379317
573	0.2867659602
574	0.2865421717
575	0.2863318503
576	0.2861479883
577	0.2858973115
578	0.2856781605
579	0.2853811073
580	0.2851041409
581	0.2849768084
582	0.2847700035
583	0.2845042454
584	0.2842582572
585	0.2840407205
586	0.2837819442
587	0.2835267144
588	0.283380398
589	0.2832436775
590	0.2830572305
591	0.2828820621
592	0.2826733715
593	0.2825218258
594	0.2823243152
595	0.2820945184
596	0.2818255067
597	0.2815613071
598	0.2814217856
599	0.281234305
600	0.2809865588
601	0.2807736217
602	0.2805908054
603	0.2803707338
604	0.2801010457
605	0.279903061
606	0.2796639576
607	0.2795300396
608	0.2792609718
609	0.2790443738
610	0.2788569509
611	0.2787096004
612	0.2784728874
613	0.278245948
614	0.2779662941
615	0.2777506048
616	0.2774416754
617	0.2772600557
618	0.2770987982
619	0.2769399443
620	0.2767265889
621	0.2765378582
622	0.2763848855
623	0.2762370287
624	0.2761325883
625	0.2758628153
626	0.2757075745
627	0.2755032551
628	0.2753363146
629	0.2750735058
630	0.2749171527
631	0.2747653491
632	0.274602807
633	0.2744279005
634	0.2742281039
635	0.2740046586
636	0.2738374383
637	0.2736487094
638	0.2735285619
639	0.2731694962
640	0.2729917032
641	0.2727162205
642	0.2724506888
643	0.2722622915
644	0.2720723792
645	0.2718624051
646	0.2716128345
647	0.2714798152
648	0.2712308931
649	0.2710558387
650	0.2708035574
651	0.2706069252
652	0.2704470125
653	0.2701968626
654	0.2700939717
655	0.2699030131
656	0.2696893665
657	0.2695522862
658	0.2693439114
659	0.2691768926
660	0.268983736
