iter	Passed	Remaining
0	16	16221
1	25	12836
2	36	12091
3	46	11596
4	57	11348
5	67	11104
6	77	10944
7	87	10808
8	95	10515
9	106	10507
10	120	10806
11	134	11037
12	147	11171
13	160	11320
14	175	11529
15	188	11588
16	200	11598
17	211	11534
18	221	11418
19	230	11310
20	240	11207
21	250	11137
22	261	11087
23	273	11135
24	286	11187
25	297	11149
26	309	11136
27	321	11145
28	332	11138
29	343	11101
30	353	11049
31	363	10987
32	373	10945
33	384	10914
34	393	10857
35	403	10814
36	414	10783
37	424	10739
38	433	10691
39	443	10641
40	452	10586
41	462	10547
42	472	10516
43	482	10477
44	492	10443
45	502	10414
46	511	10378
47	522	10353
48	532	10328
49	542	10298
50	552	10279
51	562	10249
52	571	10218
53	582	10199
54	592	10173
55	601	10143
56	611	10118
57	621	10102
58	632	10086
59	642	10059
60	651	10029
61	661	10006
62	672	9995
63	681	9968
64	692	9955
65	702	9948
66	714	9954
67	728	9985
68	740	9995
69	753	10014
70	765	10018
71	777	10025
72	788	10013
73	800	10017
74	813	10037
75	825	10032
76	835	10011
77	847	10019
78	860	10028
79	873	10040
80	883	10025
81	895	10022
82	906	10019
83	918	10018
84	929	10011
85	941	10001
86	951	9989
87	962	9974
88	973	9969
89	984	9954
90	994	9934
91	1004	9915
92	1014	9892
93	1024	9878
94	1036	9870
95	1045	9849
96	1056	9839
97	1067	9825
98	1077	9802
99	1087	9789
100	1098	9773
101	1108	9757
102	1117	9735
103	1128	9720
104	1138	9706
105	1148	9682
106	1157	9658
107	1167	9640
108	1177	9625
109	1187	9604
110	1197	9587
111	1207	9575
112	1218	9562
113	1229	9553
114	1239	9539
115	1250	9527
116	1259	9509
117	1270	9495
118	1281	9487
119	1291	9468
120	1301	9453
121	1311	9441
122	1322	9431
123	1333	9423
124	1345	9416
125	1355	9400
126	1367	9399
127	1378	9390
128	1389	9384
129	1402	9387
130	1415	9392
131	1427	9387
132	1438	9375
133	1448	9364
134	1460	9356
135	1469	9338
136	1480	9327
137	1493	9326
138	1504	9316
139	1514	9304
140	1524	9290
141	1534	9273
142	1544	9257
143	1554	9238
144	1564	9226
145	1574	9209
146	1585	9200
147	1595	9185
148	1605	9169
149	1615	9155
150	1625	9140
151	1636	9127
152	1646	9115
153	1655	9096
154	1666	9083
155	1676	9068
156	1686	9056
157	1697	9045
158	1707	9029
159	1717	9017
160	1727	9000
161	1737	8987
162	1748	8976
163	1757	8959
164	1767	8947
165	1778	8934
166	1788	8921
167	1798	8909
168	1809	8898
169	1819	8883
170	1829	8871
171	1840	8858
172	1850	8846
173	1860	8831
174	1870	8818
175	1881	8809
176	1891	8796
177	1901	8782
178	1911	8765
179	1920	8750
180	1930	8734
181	1941	8724
182	1951	8713
183	1961	8699
184	1972	8689
185	1983	8679
186	1993	8668
187	2004	8658
188	2013	8641
189	2024	8629
190	2035	8620
191	2044	8604
192	2055	8596
193	2065	8582
194	2075	8569
195	2087	8562
196	2096	8547
197	2108	8539
198	2119	8530
199	2128	8515
200	2139	8503
201	2150	8494
202	2159	8479
203	2169	8466
204	2179	8451
205	2189	8439
206	2199	8425
207	2209	8414
208	2220	8403
209	2230	8389
210	2240	8378
211	2251	8368
212	2261	8356
213	2271	8341
214	2281	8328
215	2290	8314
216	2301	8306
217	2312	8295
218	2323	8286
219	2335	8279
220	2346	8270
221	2355	8255
222	2366	8245
223	2378	8238
224	2387	8224
225	2398	8214
226	2408	8201
227	2418	8190
228	2429	8179
229	2439	8166
230	2449	8155
231	2459	8143
232	2469	8130
233	2480	8120
234	2491	8110
235	2501	8099
236	2514	8093
237	2528	8094
238	2539	8085
239	2549	8073
240	2559	8060
241	2570	8050
242	2580	8038
243	2591	8029
244	2602	8020
245	2612	8008
246	2622	7994
247	2633	7985
248	2643	7973
249	2653	7961
250	2664	7951
251	2674	7937
252	2685	7928
253	2695	7915
254	2705	7904
255	2716	7893
256	2725	7880
257	2735	7868
258	2746	7857
259	2755	7843
260	2766	7832
261	2776	7821
262	2786	7808
263	2795	7794
264	2806	7783
265	2815	7768
266	2826	7758
267	2836	7748
268	2847	7737
269	2859	7731
270	2871	7723
271	2883	7717
272	2894	7707
273	2904	7696
274	2915	7685
275	2926	7676
276	2936	7664
277	2946	7651
278	2956	7638
279	2965	7625
280	2974	7612
281	2984	7598
282	2994	7587
283	3004	7575
284	3015	7564
285	3025	7553
286	3035	7540
287	3045	7527
288	3057	7521
289	3068	7512
290	3079	7502
291	3090	7493
292	3101	7482
293	3111	7471
294	3121	7461
295	3132	7450
296	3142	7437
297	3152	7425
298	3163	7417
299	3174	7407
300	3186	7399
301	3196	7387
302	3208	7381
